study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_model	library_layout	experiment_alias
PRJNA227449	SRP032974	SAMN02402230	SRS502088	SRX377299	SRR1029537	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	SeqCap_clear_white
PRJNA227449	SRP032974	SAMN02402226	SRS502076	SRX377287	SRR1210381	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar RAC875
PRJNA227449	SRP032974	SAMN02402227	SRS502077	SRX377288	SRR1210382	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar Opata
PRJNA227449	SRP032974	SAMN02402228	SRS502078	SRX377289	SRR1210383	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of Syntenic wheat W7894 (M6)
PRJNA227449	SRP032974	SAMN02402229	SRS502087	SRX377298	SRR1210384	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar pbw343
PRJNA227449	SRP032974	SAMN02402230	SRS502088	SRX377299	SRR1210385	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	SeqCap_clear_white
PRJNA227449	SRP032974	SAMN02402231	SRS502089	SRX377300	SRR1210386	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar vorobey
PRJNA227449	SRP032974	SAMN02402232	SRS502102	SRX377301	SRR1210387	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar klein_chamaco
PRJNA227449	SRP032974	SAMN02402233	SRS502103	SRX377302	SRR1210388	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar pavon
PRJNA227449	SRP032974	SAMN02402234	SRS502104	SRX377314	SRR1210389	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar acc2
PRJNA227449	SRP032974	SAMN02402237	SRS502105	SRX377303	SRR1210390	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar acc1
PRJNA227449	SRP032974	SAMN02402235	SRS502112	SRX377315	SRR1210391	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar acc3
PRJNA227449	SRP032974	SAMN02402236	SRS502113	SRX377316	SRR1210392	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar acc4
PRJNA227449	SRP032974	SAMN02402238	SRS502114	SRX377317	SRR1210393	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar acc5
PRJNA227449	SRP032974	SAMN02402239	SRS502115	SRX377318	SRR1210394	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI366716
PRJNA227449	SRP032974	SAMN02402240	SRS502116	SRX377319	SRR1210395	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI406517
PRJNA227449	SRP032974	SAMN02402241	SRS502146	SRX377352	SRR1210396	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI349512
PRJNA227449	SRP032974	SAMN02402242	SRS502147	SRX377353	SRR1210397	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI481923
PRJNA227449	SRP032974	SAMN02402243	SRS502148	SRX377354	SRR1210398	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI481718
PRJNA227449	SRP032974	SAMN02402244	SRS502149	SRX377355	SRR1210399	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI382150
PRJNA227449	SRP032974	SAMN02402245	SRS502150	SRX377356	SRR1210400	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI366905
PRJNA227449	SRP032974	SAMN02402247	SRS502151	SRX377358	SRR1210401	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI445736
PRJNA227449	SRP032974	SAMN02402246	SRS502152	SRX377357	SRR1210402	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI470817
PRJNA227449	SRP032974	SAMN02402248	SRS502153	SRX377359	SRR1210403	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar hidhab
PRJNA227449	SRP032974	SAMN02402249	SRS502154	SRX377360	SRR1210412	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar PI477870
PRJNA227449	SRP032974	SAMN02402250	SRS502155	SRX377361	SRR1210420	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar dharwar_dry
PRJNA227449	SRP032974	SAMN02402251	SRS502156	SRX377362	SRR1210421	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar cham6
PRJNA227449	SRP032974	SAMN02402252	SRS502157	SRX377363	SRR1210422	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar chakwat86
PRJNA227449	SRP032974	SAMN02402253	SRS502158	SRX377364	SRR1210424	SRA111100	4565	Triticum aestivum	Illumina HiSeq 2000	PAIRED	Sequnece Capture of wheat cultivar berkut
